Name,Count (SRR7503035_abundance_jn05),Count (SRR7503035_light_abundance_jn00),Count (diff),Proportion_All(%) (SRR7503035_abundance_jn05),Proportion_All(%) (SRR7503035_light_abundance_jn00),Proportion_All(%) (diff),Proportion_Classified(%) (SRR7503035_abundance_jn05),Proportion_Classified(%) (SRR7503035_light_abundance_jn00),Proportion_Classified(%) (diff)
Acinetobacter baumannii,378,370,-8,0.0450196,0.0440668,-0.0009528,0.900794,0.881099,-0.019695
Clostridium tetani,99,113,+14,0.0117909,0.0134582,+0.0016673,0.235922,0.269092,+0.03317
Coccidioides immitis,15809,16028,+219,1.88284,1.90893,+0.02609,37.6737,38.1683,+0.4946
Enterobacter cloacae,264,266,+2,0.0314423,0.0316805,+0.0002382,0.629126,0.633439,+0.004313
Escherichia coli,811,869,+58,0.0965897,0.103497,+0.0069073,1.93265,2.06939,+0.13674
Giardia intestinalis,28,22,-6,0.00333479,0.00262019,-0.0007146,0.0667254,0.0523897,-0.0143357
Haemophilus influenzae,130,138,+8,0.0154829,0.0164357,+0.0009528,0.309797,0.328626,+0.018829
Helicobacter pylori,18,29,+11,0.00214379,0.00345389,+0.0013101,0.0428949,0.0690591,+0.0261642
Listeria monocytogenes,157,112,-45,0.0186986,0.0133391,-0.0053595,0.374139,0.266711,-0.107428
Moraxella catarrhalis,146,111,-35,0.0173885,0.01322,-0.0041685,0.347926,0.26433,-0.083596
Mycobacterium tuberculosis,294,282,-12,0.0350153,0.0335861,-0.0014292,0.700617,0.67154,-0.029077
Orientia tsutsugamushi,15,16,+1,0.00178649,0.00190559,+0.0001191,0.0357458,0.0381016,+0.0023558
Plasmodium falciparum,22730,22587,-143,2.70713,2.6901,-0.01703,54.1668,53.7875,-0.3793
Pseudomonas aeruginosa,522,568,+46,0.0621699,0.0676485,+0.0054786,1.24395,1.35261,+0.10866
Salmonella enterica,323,198,-125,0.0384691,0.0235817,-0.0148874,0.769726,0.471507,-0.298219
Staphylococcus aureus,67,83,+16,0.00797967,0.00988526,+0.00190559,0.159664,0.197652,+0.037988
Streptococcus pneumoniae,11,14,+3,0.00131009,0.00166739,+0.0003573,0.0262136,0.0333389,+0.0071253
UNKNOWN,797671,797641,-30,95.0022,94.9987,-0.0035,-,-,N/A
Vibrio cholerae,161,187,+26,0.019175,0.0222716,+0.0030966,0.383671,0.445312,+0.061641
