Name,Count (SRR7630418_abundance_jn05),Count (SRR7630418_light_abundance_jn00),Count (diff),Proportion_All(%) (SRR7630418_abundance_jn05),Proportion_All(%) (SRR7630418_light_abundance_jn00),Proportion_All(%) (diff),Proportion_Classified(%) (SRR7630418_abundance_jn05),Proportion_Classified(%) (SRR7630418_light_abundance_jn00),Proportion_Classified(%) (diff)
Acinetobacter baumannii,186,259,+73,0.0264389,0.0368154,+0.0103765,0.592602,0.824447,+0.231845
Clostridium tetani,94,117,+23,0.0133616,0.0166309,+0.0032693,0.299487,0.372434,+0.072947
Coccidioides immitis,11389,11481,+92,1.61888,1.63196,+0.01308,36.2857,36.5462,+0.2605
Enterobacter cloacae,454,338,-116,0.0645336,0.0480449,-0.0164887,1.44646,1.07592,-0.37054
Escherichia coli,1261,1182,-79,0.179244,0.168015,-0.011229,4.01759,3.76253,-0.25506
Giardia intestinalis,18,20,+2,0.0025586,0.00284289,+0.00028429,0.0573486,0.0636639,+0.0063153
Haemophilus influenzae,177,218,+41,0.0251596,0.0309875,+0.0058279,0.563928,0.693936,+0.130008
Helicobacter pylori,20,34,+14,0.00284289,0.00483292,+0.00199003,0.0637206,0.108229,+0.0445084
Listeria monocytogenes,98,122,+24,0.0139302,0.0173416,+0.0034114,0.312231,0.38835,+0.076119
Moraxella catarrhalis,107,119,+12,0.0152095,0.0169152,+0.0017057,0.340905,0.3788,+0.037895
Mycobacterium tuberculosis,480,479,-1,0.0682294,0.0680873,-0.0001421,1.5293,1.52475,-0.00455
Orientia tsutsugamushi,11,9,-2,0.00156359,0.0012793,-0.00028429,0.0350464,0.0286487,-0.0063977
Plasmodium falciparum,15985,15897,-88,2.27218,2.25967,-0.01251,50.9287,50.6032,-0.3255
Pseudomonas aeruginosa,483,520,+37,0.0686558,0.0739152,+0.0052594,1.53885,1.65526,+0.11641
Salmonella enterica,195,222,+27,0.0277182,0.0315561,+0.0038379,0.621276,0.706669,+0.085393
Staphylococcus aureus,192,113,-79,0.0272918,0.0160623,-0.0112295,0.611718,0.359701,-0.252017
Streptococcus pneumoniae,14,20,+6,0.00199002,0.00284289,+0.00085287,0.0446045,0.0636639,+0.0190594
UNKNOWN,672122,672094,-28,95.5385,95.5345,-0.004,-,-,N/A
Vibrio cholerae,223,265,+42,0.0316982,0.0376683,+0.0059701,0.710485,0.843546,+0.133061
