Name,Count (SRR7618093_abundance_jn05),Count (SRR7618093_light_abundance_jn00),Count (diff),Proportion_All(%) (SRR7618093_abundance_jn05),Proportion_All(%) (SRR7618093_light_abundance_jn00),Proportion_All(%) (diff),Proportion_Classified(%) (SRR7618093_abundance_jn05),Proportion_Classified(%) (SRR7618093_light_abundance_jn00),Proportion_Classified(%) (diff)
Acinetobacter baumannii,784,811,+27,0.167163,0.17292,+0.005757,2.09609,2.16474,+0.06865
Clostridium tetani,123,126,+3,0.0262258,0.0268655,+0.0006397,0.328851,0.336323,+0.007472
Coccidioides immitis,12017,11858,-159,2.56224,2.52834,-0.0339,32.1284,31.6517,-0.4767
Enterobacter cloacae,468,596,+128,0.0997861,0.127078,+0.0272919,1.25124,1.59086,+0.33962
Escherichia coli,2255,2228,-27,0.480807,0.47505,-0.005757,6.02893,5.94704,-0.08189
Giardia intestinalis,9,6,-3,0.00191896,0.00127931,-0.00063965,0.0240622,0.0160154,-0.0080468
Haemophilus influenzae,235,171,-64,0.0501063,0.0364603,-0.013646,0.628292,0.456438,-0.171854
Helicobacter pylori,79,129,+50,0.0168442,0.0275052,+0.010661,0.211213,0.344331,+0.133118
Listeria monocytogenes,157,167,+10,0.0334753,0.0356074,+0.0021321,0.419752,0.445761,+0.026009
Moraxella catarrhalis,157,157,+0,0.0334753,0.0334753,+0,0.419752,0.419069,-0.000683
Mycobacterium tuberculosis,96,105,+9,0.020469,0.0223879,+0.0019189,0.256664,0.280269,+0.023605
Orientia tsutsugamushi,3,2,-1,0.000639655,0.000426437,-0.000213218,0.00802075,0.00533846,-0.00268229
Plasmodium falciparum,18925,19168,+243,4.03516,4.08697,+0.05181,50.5975,51.1638,+0.5663
Pseudomonas aeruginosa,1164,990,-174,0.248186,0.211086,-0.0371,3.11205,2.64254,-0.46951
Salmonella enterica,504,384,-120,0.107462,0.0818758,-0.0255862,1.34749,1.02498,-0.32251
Staphylococcus aureus,100,162,+62,0.0213218,0.0345414,+0.0132196,0.267358,0.432415,+0.165057
Streptococcus pneumoniae,45,34,-11,0.00959482,0.00724942,-0.0023454,0.120311,0.0907538,-0.0295572
UNKNOWN,431600,431539,-61,92.025,92.012,-0.013,-,-,N/A
Vibrio cholerae,282,370,+88,0.0601275,0.0788908,+0.0187633,0.75395,0.987615,+0.233665
