Name,Count (SRR7503007_abundance_jn05),Count (SRR7503007_light_abundance_jn00),Count (diff),Proportion_All(%) (SRR7503007_abundance_jn05),Proportion_All(%) (SRR7503007_light_abundance_jn00),Proportion_All(%) (diff),Proportion_Classified(%) (SRR7503007_abundance_jn05),Proportion_Classified(%) (SRR7503007_light_abundance_jn00),Proportion_Classified(%) (diff)
Acinetobacter baumannii,93,93,+0,0.0177912,0.0177912,+0,0.407341,0.40718,-0.000161
Clostridium tetani,48,50,+2,0.00918258,0.00956519,+0.00038261,0.21024,0.218914,+0.008674
Coccidioides immitis,9437,9535,+98,1.80533,1.82408,+0.01875,41.3342,41.7469,+0.4127
Enterobacter cloacae,89,71,-18,0.017026,0.0135826,-0.0034434,0.389821,0.310858,-0.078963
Escherichia coli,286,324,+38,0.0547129,0.0619824,+0.0072695,1.25268,1.41856,+0.16588
Giardia intestinalis,7,4,-3,0.00133913,0.000765215,-0.000573915,0.0306601,0.0175131,-0.013147
Haemophilus influenzae,67,70,+3,0.0128173,0.0133913,+0.000574,0.293461,0.30648,+0.013019
Helicobacter pylori,7,15,+8,0.00133913,0.00286956,+0.00153043,0.0306601,0.0656743,+0.0350142
Listeria monocytogenes,83,61,-22,0.0158782,0.0116695,-0.0042087,0.363541,0.267075,-0.096466
Moraxella catarrhalis,55,44,-11,0.0105217,0.00841736,-0.00210434,0.240901,0.192644,-0.048257
Mycobacterium tuberculosis,90,87,-3,0.0172173,0.0166434,-0.0005739,0.394201,0.380911,-0.01329
Orientia tsutsugamushi,7,5,-2,0.00133913,0.000956519,-0.000382611,0.0306601,0.0218914,-0.0087687
Plasmodium falciparum,11888,11815,-73,2.27422,2.26025,-0.01397,52.0696,51.7294,-0.3402
Pseudomonas aeruginosa,400,423,+23,0.0765215,0.0809215,+0.0044,1.752,1.85201,+0.10001
Salmonella enterica,158,95,-63,0.030226,0.0181739,-0.0120521,0.692042,0.415937,-0.276105
Staphylococcus aureus,36,49,+13,0.00688693,0.00937388,+0.00248695,0.15768,0.214536,+0.056856
Streptococcus pneumoniae,5,11,+6,0.000956519,0.00210434,+0.00114782,0.0219,0.0481611,+0.0262611
UNKNOWN,499898,499889,-9,95.6323,95.6306,-0.0017,-,-,N/A
Vibrio cholerae,75,88,+13,0.0143478,0.0168347,+0.0024869,0.328501,0.385289,+0.056788
