Name,Count (SRR7500591_abundance_jn05),Count (SRR7500591_light_abundance_jn00),Count (diff),Proportion_All(%) (SRR7500591_abundance_jn05),Proportion_All(%) (SRR7500591_light_abundance_jn00),Proportion_All(%) (diff),Proportion_Classified(%) (SRR7500591_abundance_jn05),Proportion_Classified(%) (SRR7500591_light_abundance_jn00),Proportion_Classified(%) (diff)
Acinetobacter baumannii,531,555,+24,0.0905959,0.0946907,+0.0040948,1.34366,1.40439,+0.06073
Clostridium tetani,311,307,-4,0.0530609,0.0523784,-0.0006825,0.786963,0.776842,-0.010121
Coccidioides immitis,12479,12243,-236,2.12909,2.08882,-0.04027,31.5772,30.98,-0.5972
Enterobacter cloacae,633,664,+31,0.107999,0.113288,+0.005289,1.60176,1.6802,+0.07844
Escherichia coli,2460,2178,-282,0.41971,0.371597,-0.048113,6.22485,5.51127,-0.71358
Giardia intestinalis,11,9,-2,0.00187675,0.00153552,-0.00034123,0.0278347,0.0227739,-0.0050608
Haemophilus influenzae,158,213,+55,0.026957,0.0363407,+0.0093837,0.399808,0.538981,+0.139173
Helicobacter pylori,72,102,+30,0.0122842,0.0174026,+0.0051184,0.182191,0.258104,+0.075913
Listeria monocytogenes,302,254,-48,0.0515254,0.0433359,-0.0081895,0.764189,0.642729,-0.12146
Moraxella catarrhalis,195,109,-86,0.0332697,0.0185969,-0.0146728,0.493434,0.275817,-0.217617
Mycobacterium tuberculosis,107,122,+15,0.0182557,0.0208149,+0.0025592,0.270756,0.308712,+0.037956
Orientia tsutsugamushi,7,8,+1,0.0011943,0.00136491,+0.00017061,0.017713,0.0202434,+0.0025304
Plasmodium falciparum,21077,21334,+257,3.59603,3.63988,+0.04385,53.3338,53.9842,+0.6504
Pseudomonas aeruginosa,382,453,+71,0.0651745,0.0772881,+0.0121136,0.966624,1.14628,+0.179656
Salmonella enterica,273,342,+69,0.0465776,0.0583499,+0.0117723,0.690807,0.865407,+0.1746
Staphylococcus aureus,193,266,+73,0.0329285,0.0453833,+0.0124548,0.488373,0.673094,+0.184721
Streptococcus pneumoniae,102,107,+5,0.0174026,0.0182557,+0.0008531,0.258104,0.270756,+0.012652
UNKNOWN,546600,546600,+0,93.2575,93.2575,+0,-,-,N/A
Vibrio cholerae,226,253,+27,0.0385587,0.0431653,+0.0046066,0.571877,0.640198,+0.068321
