Name,Count (SRR7497945_abundance_jn05),Count (SRR7497945_light_abundance_jn00),Count (diff),Proportion_All(%) (SRR7497945_abundance_jn05),Proportion_All(%) (SRR7497945_light_abundance_jn00),Proportion_All(%) (diff),Proportion_Classified(%) (SRR7497945_abundance_jn05),Proportion_Classified(%) (SRR7497945_light_abundance_jn00),Proportion_Classified(%) (diff)
Acinetobacter baumannii,182,173,-9,0.0367927,0.0349733,-0.0018194,0.559432,0.531768,-0.027664
Clostridium tetani,68,73,+5,0.0137467,0.0147575,+0.0010108,0.209019,0.224388,+0.015369
Coccidioides immitis,9670,9758,+88,1.95487,1.97266,+0.01779,29.7237,29.9942,+0.2705
Enterobacter cloacae,263,233,-30,0.0531675,0.0471028,-0.0060647,0.80841,0.716196,-0.092214
Escherichia coli,7217,7264,+47,1.45897,1.46847,+0.0095,22.1836,22.3281,+0.1445
Giardia intestinalis,9,9,+0,0.00181942,0.00181942,+0,0.0276642,0.0276642,+0
Haemophilus influenzae,234,255,+21,0.0473049,0.0515502,+0.0042453,0.71927,0.78382,+0.06455
Helicobacter pylori,68,83,+15,0.0137467,0.0167791,+0.0030324,0.209019,0.255126,+0.046107
Listeria monocytogenes,162,123,-39,0.0327496,0.0248654,-0.0078842,0.497956,0.378078,-0.119878
Moraxella catarrhalis,151,118,-33,0.0305258,0.0238546,-0.0066712,0.464144,0.362709,-0.101435
Mycobacterium tuberculosis,137,133,-4,0.0276956,0.026887,-0.0008086,0.421111,0.408816,-0.012295
Orientia tsutsugamushi,5,5,+0,0.00101079,0.00101079,+0,0.015369,0.015369,+0
Plasmodium falciparum,12886,12815,-71,2.60501,2.59065,-0.01436,39.609,39.3908,-0.2182
Pseudomonas aeruginosa,706,767,+61,0.142723,0.155055,+0.012332,2.1701,2.35761,+0.18751
Salmonella enterica,329,212,-117,0.0665099,0.0428575,-0.0236524,1.01128,0.651646,-0.359634
Staphylococcus aureus,73,89,+16,0.0147575,0.017992,+0.0032345,0.224388,0.273568,+0.04918
Streptococcus pneumoniae,24,29,+5,0.00485179,0.00586258,+0.00101079,0.0737712,0.0891403,+0.0153691
UNKNOWN,462130,462130,+0,93.4232,93.4232,+0,-,-,N/A
Vibrio cholerae,349,394,+45,0.0705531,0.0796502,+0.0090971,1.07276,1.21108,+0.13832
