Name,Count (SRR7497167_abundance_jn05),Count (SRR7497167_light_abundance_jn00),Count (diff),Proportion_All(%) (SRR7497167_abundance_jn05),Proportion_All(%) (SRR7497167_light_abundance_jn00),Proportion_All(%) (diff),Proportion_Classified(%) (SRR7497167_abundance_jn05),Proportion_Classified(%) (SRR7497167_light_abundance_jn00),Proportion_Classified(%) (diff)
Acinetobacter baumannii,683,670,-13,0.108818,0.106747,-0.002071,2.08143,2.04181,-0.03962
Clostridium tetani,169,159,-10,0.0269256,0.0253324,-0.0015932,0.515024,0.484549,-0.030475
Coccidioides immitis,9583,9696,+113,1.52679,1.5448,+0.01801,29.204,29.5484,+0.3444
Enterobacter cloacae,527,490,-37,0.0839633,0.0780684,-0.0058949,1.60602,1.49327,-0.11275
Escherichia coli,2028,2103,+75,0.323107,0.335057,+0.01195,6.18029,6.40885,+0.22856
Giardia intestinalis,10,9,-1,0.00159323,0.00143391,-0.00015932,0.0304748,0.0274273,-0.0030475
Haemophilus influenzae,126,179,+53,0.0200747,0.0285189,+0.0084442,0.383982,0.545499,+0.161517
Helicobacter pylori,129,170,+41,0.0205527,0.0270849,+0.0065322,0.393125,0.518072,+0.124947
Listeria monocytogenes,311,243,-68,0.0495495,0.0387155,-0.010834,0.947766,0.740538,-0.207228
Moraxella catarrhalis,178,126,-52,0.0283595,0.0200747,-0.0082848,0.542451,0.383982,-0.158469
Mycobacterium tuberculosis,212,209,-3,0.0337765,0.0332985,-0.000478,0.646066,0.636923,-0.009143
Orientia tsutsugamushi,4,2,-2,0.000637293,0.000318646,-0.000318647,0.0121899,0.00609496,-0.00609494
Plasmodium falciparum,15871,15780,-91,2.52862,2.51412,-0.0145,48.3666,48.0892,-0.2774
Pseudomonas aeruginosa,588,655,+67,0.093682,0.104357,+0.010675,1.79192,1.9961,+0.20418
Salmonella enterica,482,293,-189,0.0767938,0.0466817,-0.0301121,1.46889,0.892912,-0.575978
Staphylococcus aureus,170,205,+35,0.0270849,0.0326613,+0.0055764,0.518072,0.624733,+0.106661
Streptococcus pneumoniae,77,92,+15,0.0122679,0.0146577,+0.0023898,0.234656,0.280368,+0.045712
UNKNOWN,594841,594841,+0,94.772,94.772,+0,-,-,N/A
Vibrio cholerae,1666,1733,+67,0.265432,0.276107,+0.010675,5.0771,5.28128,+0.20418
